"CLIENT_ID";"NAME";"CATEGORY"
166;"Казаньоргсинтез";"Средний бизнес"
167;"ЗАО Моисеева";"Малый бизнес"
168;"АО Максимова-Носкова";"Малый бизнес"
169;"ЗАО Колобов, Гущина и Карпова";"Малый бизнес"
170;"Уральский банк реконструкции и развития";"Средний бизнес"
171;"Коновалова Лтд";"Малый бизнес"
172;"ЗАО Савельев";"Малый бизнес"
173;"Миронова Инк";"Средний бизнес"
174;"АО Филиппов, Журавлев и Морозов";"Средний бизнес"
175;"ЗАО Костин-Воронцова";"Средний бизнес"
176;"Костин Лимитед";"Малый бизнес"
177;"РАО Щукин";"Малый бизнес"
178;"ОАО Константинов";"Малый бизнес"
179;"Горшков Групп";"Малый бизнес"
180;"ОАО Суханова-Голубева";"Средний бизнес"
181;"Л'Этуаль";"Малый бизнес"
182;"ИП Цветкова, Гурьев и Костин";"Средний бизнес"
183;"ИП Самсонова";"Малый бизнес"
184;"ТГК-16";"Малый бизнес"
185;"ОАО Абрамова";"Малый бизнес"
186;"Самсонов Лимитед";"Средний бизнес"
187;"РАО Родионова Ершова";"Средний бизнес"
188;"НПО Петров";"Малый бизнес"
189;"Никонова Групп";"Средний бизнес"
190;"ООО Фомичев-Беляева";"Средний бизнес"
191;"Ильина Лтд";"Средний бизнес"
192;"БелАЗ-24";"Малый бизнес"
193;"НПО Евсеева, Дементьев и Исаева";"Средний бизнес"
194;"ИП Калашников-Полякова";"Средний бизнес"
195;"ИП Сорокин";"Малый бизнес"
196;"АО Артемьева-Меркушев";"Малый бизнес"
197;"Самсонов Инкорпорэйтед";"Малый бизнес"
198;"АО Мамонтов, Федосеева и Корнилова";"Малый бизнес"
199;"НПО Симонова-Зыкова";"Малый бизнес"
200;"Фортум (Fortum)";"Средний бизнес"
201;"Архипова Лимитед";"Средний бизнес"
202;"Михайлов Инк";"Средний бизнес"
203;"РАО Сорокин-Мартынова";"Средний бизнес"
204;"ООО Борисова Кудряшов";"Малый бизнес"
205;"ОАО Казакова-Михеев";"Средний бизнес"
206;"АО Якушев Логинов";"Средний бизнес"
207;"Хенкель Рус (Henkel)";"Малый бизнес"
208;"ЗАО Федоров";"Средний бизнес"
209;"Романова и партнеры";"Малый бизнес"
210;"АО Романов Дорофеева";"Средний бизнес"
211;"АО Алексеева, Исаков и Смирнова";"Средний бизнес"
212;"ОАО Одинцов-Белякова";"Средний бизнес"
213;"ОАО Воронова-Исаева";"Малый бизнес"
214;"ЗАО Мясникова Силина";"Малый бизнес"
215;"РАО Титов, Сидоров и Шашков";"Малый бизнес"
216;"Саткинский чугуноплавильный завод";"Малый бизнес"
217;"Кудряшов Лимитед";"Малый бизнес"
218;"Савин Групп";"Средний бизнес"
219;"Сибирская сервисная компания";"Малый бизнес"
220;"АО Евдокимов Сафонова";"Средний бизнес"
221;"АФК Система";"Малый бизнес"
222;"СТД Петрович";"Средний бизнес"
223;"ЗАО Петухова, Кудрявцева и Бобылев";"Средний бизнес"
224;"ИП Филиппова Кулагина";"Малый бизнес"
225;"ООО Беспалов-Александрова";"Малый бизнес"
226;"ЗАО Большаков Коновалова";"Средний бизнес"
227;"Акрон";"Средний бизнес"
228;"НПО Наумова-Самойлова";"Средний бизнес"
229;"Карпов Инк";"Малый бизнес"
230;"ИП Ефремова, Куликов и Кулаков";"Средний бизнес"
231;"Транскапиталбанк";"Средний бизнес"
232;"Горбунов Лимитед";"Малый бизнес"
233;"ООО Бобылева Одинцов";"Средний бизнес"
234;"Шубин Инк";"Средний бизнес"
235;"РАО Хохлова-Макарова";"Малый бизнес"
236;"Евсеева Лимитед";"Малый бизнес"
237;"ЗАО Тарасова-Миронова";"Малый бизнес"
238;"АО Игнатьева";"Средний бизнес"
239;"ИП Кудряшова";"Малый бизнес"
240;"ООО Жданов-Большаков";"Средний бизнес"
241;"НПО Власова Вишнякова";"Средний бизнес"
242;"ООО Кудряшов-Беспалова";"Малый бизнес"
243;"ИП Орлов, Шарапова и Шарапова";"Малый бизнес"
244;"РАО Васильев, Орлова и Хохлов";"Малый бизнес"
245;"ЗАО Степанова, Калашников и Орлов";"Малый бизнес"
246;"S7 Group";"Средний бизнес"
247;"Мишина Инк";"Средний бизнес"
248;"ЗАО Баранов, Сорокина и Константинов";"Малый бизнес"
249;"ИП Бобылева-Гурьев";"Средний бизнес"
250;"ООО Игнатов, Попова и Бирюкова";"Малый бизнес"
251;"ООО Овчинникова";"Средний бизнес"
252;"Новосталь";"Средний бизнес"
253;"ИП Савин";"Средний бизнес"
254;"Комос Групп";"Средний бизнес"
255;"Корпорация Тактическое ракетное вооружение";"Малый бизнес"
256;"Лаврентьев Групп";"Средний бизнес"
257;"ИП Денисова, Сидоров и Соловьева";"Малый бизнес"
258;"ИП Колесников, Михеева и Суворова";"Малый бизнес"
259;"ЗАО Гурьева";"Средний бизнес"
260;"Евраз";"Средний бизнес"
261;"РАО Буров, Зайцева и Лихачева";"Малый бизнес"
262;"НПО Никонова-Давыдов";"Малый бизнес"
263;"Емельянов Инк";"Малый бизнес"
264;"ИП Соболев, Смирнов и Пестова";"Малый бизнес"
265;"ООО Трофимова";"Средний бизнес"
266;"НПО Котов";"Малый бизнес"
267;"Голубева Лтд";"Малый бизнес"
268;"Борисова Лимитед";"Средний бизнес"
269;"РАО Соболева-Морозов";"Малый бизнес"
270;"ИП Павлова-Беляева";"Малый бизнес"
271;"ООО Петрова";"Средний бизнес"
272;"Терентьева Лимитед";"Малый бизнес"
273;"ИП Васильев-Логинов";"Малый бизнес"
274;"ООО Воронова-Морозов";"Малый бизнес"
275;"РАО Петухова";"Малый бизнес"
276;"ООО Мясникова, Федорова и Орлов";"Малый бизнес"
277;"Отисифарм";"Средний бизнес"
278;"Военторг";"Малый бизнес"
279;"АО Иванов Константинов";"Средний бизнес"
280;"НПО Лазарев-Копылов";"Средний бизнес"
281;"Зуев Лимитед";"Малый бизнес"
282;"ОАО Суханова Дорофеев";"Средний бизнес"
283;"РАО Абрамов Ширяев";"Средний бизнес"
284;"НПО Кулаков, Лихачев и Шарова";"Средний бизнес"
285;"РАО Виноградов";"Малый бизнес"
286;"АО Блохина Дмитриева";"Средний бизнес"
287;"ЗАО Буров Денисова";"Малый бизнес"
288;"Шаров Групп";"Средний бизнес"
289;"НПФ Газфонд пенсионные накопления";"Средний бизнес"
290;"ЗАО Симонова Алексеев";"Малый бизнес"
291;"Центральная пригородная пассажирская компания";"Средний бизнес"
292;"ИП Самойлова";"Средний бизнес"
293;"ИП Агафонов Панфилов";"Малый бизнес"
294;"РАО Кулагина-Кириллов";"Средний бизнес"
295;"РАО Романова";"Средний бизнес"
296;"Сибирская сервисная компания";"Малый бизнес"
297;"НПО Шилов-Карпов";"Малый бизнес"
298;"Архангельский ЦБК";"Средний бизнес"
299;"АвтоВАЗ";"Малый бизнес"
300;"РАО Селиверстова, Селезнева и Жданова";"Малый бизнес"
301;"ВГТРК";"Малый бизнес"
302;"ООО Панфилов, Вишняков и Аксенов";"Малый бизнес"
303;"ИП Ермаков-Артемьева";"Малый бизнес"
304;"Интернешнл Пейпер (International Paper)";"Малый бизнес"
305;"ЗАО Кулаков-Дроздова";"Средний бизнес"
306;"АО Дорофеева";"Средний бизнес"
307;"АО Авдеев, Вишнякова и Воробьев";"Средний бизнес"
308;"Нефтехимремстрой";"Малый бизнес"
309;"ОАО Гурьева Зиновьева";"Средний бизнес"
310;"ЗАО Орлов-Потапова";"Средний бизнес"
311;"РАО Ковалева Мельников";"Малый бизнес"
312;"ОАО Матвеев";"Малый бизнес"
313;"Муравьева Лимитед";"Средний бизнес"
314;"РАО Дорофеева";"Средний бизнес"
315;"Соболев Лимитед";"Средний бизнес"
316;"Медведева и партнеры";"Малый бизнес"
317;"Поляков Лимитед";"Малый бизнес"
318;"ЗАО Трофимов Чернова";"Малый бизнес"
319;"АО Воронова Бурова";"Малый бизнес"
320;"ООО Сазонова Виноградов";"Средний бизнес"
321;"Кулагина Групп";"Средний бизнес"
322;"Пахомов Лтд";"Средний бизнес"
323;"Петролеум Трейдинг";"Малый бизнес"
324;"ИП Уварова, Федосеева и Евсеев";"Малый бизнес"
325;"РАО Кириллова-Максимова";"Малый бизнес"
326;"ЗАО Анисимова-Петрова";"Средний бизнес"
327;"ИП Федорова, Гурьев и Савин";"Малый бизнес"
328;"Фармкомплект";"Малый бизнес"
329;"ОАО Игнатьева, Кулаков и Пономарева";"Средний бизнес"
330;"ЗАО Кулакова";"Малый бизнес"
331;"Лига ставок";"Средний бизнес"
332;"ООО Агафонова, Кузнецов и Максимов";"Малый бизнес"
333;"ЗАО Молчанова Елисеев";"Средний бизнес"
334;"Никитин и партнеры";"Средний бизнес"
335;"АО Алексеев";"Малый бизнес"
336;"ИП Ершов";"Малый бизнес"
337;"РАО Ширяева, Миронова и Михеев";"Средний бизнес"
338;"РАО Калашникова Алексеев";"Средний бизнес"
339;"Тихонова Групп";"Малый бизнес"
340;"ОАО Журавлева-Фокин";"Малый бизнес"
341;"РАО Дементьева";"Малый бизнес"
342;"ИП Лобанов-Якушев";"Средний бизнес"
343;"ЗАО Пономарев-Полякова";"Средний бизнес"
344;"НПО Шашкова-Харитонов";"Средний бизнес"
345;"Фокина и партнеры";"Средний бизнес"
346;"ИП Большакова-Власов";"Средний бизнес"
347;"ИП Давыдова";"Малый бизнес"
348;"НПО Турова, Анисимова и Меркушева";"Средний бизнес"
349;"РАО Поляков Виноградов";"Малый бизнес"
350;"РАО Вишняков Зуев";"Средний бизнес"
351;"АО Веселов";"Средний бизнес"
352;"ООО Новикова-Беспалова";"Средний бизнес"
353;"АО Горшкова";"Средний бизнес"
354;"Славянск Эко";"Средний бизнес"
355;"Корнилова Лимитед";"Средний бизнес"
356;"Автотор холдинг";"Средний бизнес"
357;"РАО Фомина-Филиппов";"Средний бизнес"
358;"Виноградов Инк";"Средний бизнес"
359;"Мишина и партнеры";"Малый бизнес"
360;"РАО Молчанов Козлов";"Малый бизнес"
361;"РАО Быков, Крюков и Федосеев";"Средний бизнес"
362;"ИП Павлов";"Малый бизнес"
363;"ЗАО Захаров";"Средний бизнес"
364;"ОАО Капустин-Виноградов";"Средний бизнес"
365;"ООО Журавлева Никонова";"Малый бизнес"
366;"ИП Ефремов Кошелева";"Средний бизнес"
367;"ЗАО Беляева-Рябова";"Средний бизнес"
368;"АО Семенов";"Средний бизнес"
369;"РАО Буров";"Средний бизнес"
370;"Васильев Лимитед";"Малый бизнес"
371;"ОАО Мартынов";"Средний бизнес"
372;"Абрамов Инкорпорэйтед";"Малый бизнес"
373;"Третьякова и партнеры";"Малый бизнес"
374;"Сетевая компания";"Малый бизнес"
375;"Томскнефть ВНК";"Средний бизнес"
376;"ОАО Беляков";"Средний бизнес"
377;"ОАО Павлова Лыткин";"Малый бизнес"
378;"Куликова Групп";"Средний бизнес"
379;"Суворов Инкорпорэйтед";"Малый бизнес"
380;"ИП Корнилов-Мясников";"Малый бизнес"
381;"ИП Куликов-Гуляева";"Малый бизнес"
382;"Уральские авиалинии";"Малый бизнес"
383;"Русэнергоресурс";"Средний бизнес"
384;"Белозерова Лимитед";"Средний бизнес"
385;"АО Ильин, Куликов и Лаврентьев";"Малый бизнес"
386;"АО Сергеева Соловьева";"Средний бизнес"
387;"НПО Тетерина-Николаева";"Малый бизнес"
388;"ИП Ларионова-Федосеева";"Малый бизнес"
389;"АО Матвеева";"Средний бизнес"
390;"ЗАО Молчанова";"Малый бизнес"
391;"РАО Беляев";"Малый бизнес"
392;"НПО Лыткина, Кононов и Носов";"Средний бизнес"
393;"НПО Котова, Савин и Муравьев";"Средний бизнес"
394;"ОАО Давыдова";"Средний бизнес"
395;"ЗАО Миронова-Зуева";"Малый бизнес"
396;"Юнилевер Русь (Unilever)";"Малый бизнес"
397;"Объединенная авиастроительная корпорация";"Средний бизнес"
398;"ООО Фролов, Васильева и Стрелков";"Малый бизнес"
399;"ЗАО Никитин, Голубева и Доронина";"Средний бизнес"
400;"Т Плюс";"Средний бизнес"
401;"Группа Ренессанс Страхование";"Средний бизнес"
402;"Монетка";"Малый бизнес"
403;"НПО Семенов";"Малый бизнес"
404;"ООО Наумов-Анисимова";"Малый бизнес"
405;"НПО Горбунова-Горбачев";"Средний бизнес"
406;"АО Рыбаков-Логинов";"Средний бизнес"
407;"НПО Логинов";"Средний бизнес"
408;"ЗАО Архипова Борисова";"Малый бизнес"
409;"ИП Капустин";"Малый бизнес"
410;"РАО Фокина";"Малый бизнес"
411;"РАО Рябова Силина";"Малый бизнес"
412;"Эркафарм";"Малый бизнес"
413;"Газпром автоматизация";"Малый бизнес"
414;"Алексеев Лимитед";"Малый бизнес"
415;"Белоусов Инк";"Средний бизнес"
416;"ООО Попова Бурова";"Средний бизнес"
417;"ЗАО Шестакова";"Средний бизнес"
418;"ЗАО Дьячков";"Средний бизнес"
419;"Доронина Инк";"Средний бизнес"
420;"ИП Молчанов Некрасова";"Средний бизнес"
421;"Киселев Лимитед";"Малый бизнес"
422;"НПО Бобылев";"Средний бизнес"
423;"НПО Михайлова-Родионова";"Малый бизнес"
424;"ЗАО Баранов Красильников";"Средний бизнес"
425;"ЗАО Лазарев";"Малый бизнес"
426;"РАО Носкова";"Малый бизнес"
427;"ММС Рус (Mitsubishi Motors)";"Средний бизнес"
428;"АО Александров Мельников";"Средний бизнес"
429;"ОАО Гущин";"Малый бизнес"
430;"Кулагин Лимитед";"Средний бизнес"
431;"ООО Тихонова, Лихачева и Евдокимова";"Средний бизнес"
432;"АО Кудряшов";"Средний бизнес"
433;"Familia";"Малый бизнес"
434;"ОАО Федосеев Никифорова";"Малый бизнес"
435;"Hoff (Домашний интерьер)";"Малый бизнес"
436;"Мухин Инкорпорэйтед";"Малый бизнес"
437;"ИП Сазонова Крюков";"Малый бизнес"
438;"Зарубежнефть";"Средний бизнес"
439;"НПО Рыбаков";"Малый бизнес"
440;"ИП Шашков Данилова";"Средний бизнес"
441;"ООО Абрамов, Мамонтов и Дьячков";"Малый бизнес"
442;"ЗАО Чернова Потапова";"Средний бизнес"
443;"НПО Михеев, Павлова и Кудряшов";"Средний бизнес"
444;"ООО Коновалов, Овчинников и Веселов";"Средний бизнес"
445;"Меркушев и партнеры";"Малый бизнес"
446;"ООО Герасимов";"Малый бизнес"
447;"НИПИ НГ Петон";"Малый бизнес"
448;"Владимирова Лимитед";"Средний бизнес"
449;"Артемьев Инкорпорэйтед";"Средний бизнес"
450;"Суханов Лимитед";"Средний бизнес"
451;"ИП Марков-Кудрявцев";"Малый бизнес"
452;"ЗАО Третьякова";"Средний бизнес"
453;"ООО Савина-Кудряшова";"Средний бизнес"
454;"РАО Кононов, Нестеров и Кулаков";"Малый бизнес"
455;"ООО Федорова-Казаков";"Средний бизнес"
456;"ИП Смирнов";"Малый бизнес"
457;"ЗАО Самойлов Герасимова";"Малый бизнес"
458;"Транспортная группа FESCO";"Средний бизнес"
459;"ООО Лобанова";"Средний бизнес"
460;"Кулаков и партнеры";"Малый бизнес"
461;"РАО Овчинников-Чернова";"Малый бизнес"
462;"РАО Емельянова-Белозеров";"Средний бизнес"
463;"ОАО Блинова, Мясникова и Хохлов";"Малый бизнес"
464;"Сетевая компания";"Средний бизнес"
465;"АО Павлов";"Средний бизнес"
466;"РАО Никонов-Зуев";"Средний бизнес"
467;"Артемьев Групп";"Малый бизнес"
468;"Лыткин Инкорпорэйтед";"Малый бизнес"
469;"ЗАО Орлова, Орлов и Копылова";"Малый бизнес"
470;"РАО Егорова Алексеева";"Средний бизнес"
471;"Родионов Лтд";"Средний бизнес"
472;"Крюкова Лимитед";"Средний бизнес"
473;"ИП Зайцева Афанасьев";"Малый бизнес"
474;"Славнефть";"Средний бизнес"
475;"АО Исаев";"Средний бизнес"
476;"РАО Пахомова-Бирюков";"Средний бизнес"
477;"Дроздов Инкорпорэйтед";"Средний бизнес"
478;"НПО Иванова Костин";"Средний бизнес"
479;"РАО Громов-Сысоева";"Малый бизнес"
480;"ОАО Афанасьев";"Средний бизнес"
481;"ООО Федорова, Цветкова и Нестерова";"Малый бизнес"
482;"ОАО Антонов Брагина";"Средний бизнес"
483;"НПО Агафонов-Иванова";"Средний бизнес"
484;"ОАО Медведева";"Средний бизнес"
485;"АО Михайлова";"Средний бизнес"
486;"РАО Афанасьев, Лебедева и Ковалева";"Средний бизнес"
487;"ИП Капустин";"Средний бизнес"
488;"Татэнергосбыт";"Малый бизнес"
489;"Хохлова Инкорпорэйтед";"Малый бизнес"
490;"АО Бурова Романов";"Малый бизнес"
491;"ЗАО Носков Кошелева";"Средний бизнес"
492;"ИП Стрелков, Мухина и Григорьева";"Малый бизнес"
493;"ЗАО Семенова Степанова";"Малый бизнес"
494;"Славнефть";"Средний бизнес"
495;"ИП Зимин Борисова";"Малый бизнес"
496;"ЗАО Симонов Филатова";"Малый бизнес"
497;"Денисова Инк";"Средний бизнес"
498;"Иркутская нефтяная компания";"Средний бизнес"
499;"РАО Поляков Михайлов";"Средний бизнес"
500;"РАО Капустин";"Малый бизнес"
501;"ЗАО Якушев";"Малый бизнес"
502;"ООО Кузнецова";"Средний бизнес"
503;"Щербаков Групп";"Средний бизнес"
504;"Тойота Мотор (Toyota)";"Средний бизнес"
505;"РМ Рейл";"Средний бизнес"
506;"Кононова Лтд";"Средний бизнес"
507;"ЗАО Фомина-Сафонов";"Средний бизнес"
508;"ОАО Федосеев";"Малый бизнес"
509;"ОАО Захаров Федосеев";"Средний бизнес"
510;"Филатов Лтд";"Малый бизнес"
511;"ЗАО Александрова-Тимофеев";"Малый бизнес"
512;"Элко Рус (Elko)";"Малый бизнес"
513;"АО Кириллов Романов";"Средний бизнес"
514;"АО Гусев Лыткин";"Малый бизнес"
515;"Комарова Лтд";"Средний бизнес"
516;"НПО Ершов Кузнецова";"Малый бизнес"
517;"Московский метрополитен";"Малый бизнес"
518;"РАО Филиппов";"Малый бизнес"
519;"Рыбаков и партнеры";"Средний бизнес"
520;"НПО Ефремова-Симонов";"Малый бизнес"
521;"Мельников и партнеры";"Малый бизнес"
522;"Эркафарм";"Малый бизнес"
523;"Архипов Инкорпорэйтед";"Средний бизнес"
524;"НПО Потапова, Симонова и Волков";"Средний бизнес"
525;"ООО Колесникова-Пономарева";"Средний бизнес"
526;"ОАО Федосеева-Русаков";"Малый бизнес"
527;"АО Казакова";"Средний бизнес"
528;"Квадра";"Средний бизнес"
529;"ЗАО Кузнецова, Назаров и Волкова";"Малый бизнес"
530;"ЗАО Лапина";"Малый бизнес"
531;"Зайцева Лимитед";"Средний бизнес"
532;"Эппл Рус (Apple)";"Средний бизнес"
533;"Тимофеева и партнеры";"Малый бизнес"
534;"РАО Аксенов-Васильева";"Средний бизнес"
535;"ООО Соколова-Ефимова";"Малый бизнес"
536;"Тетра Пак (Tetra Pak)";"Средний бизнес"
537;"Эркафарм";"Средний бизнес"
538;"АО Галкина";"Малый бизнес"
539;"Фомичева Лтд";"Средний бизнес"
540;"НПО Шарова, Медведева и Никифоров";"Малый бизнес"
541;"ОАО Хохлов";"Малый бизнес"
542;"Независимая нефтегазовая компания";"Малый бизнес"
